,phrase,label,sentiment,subjectivity,language,count
before sophomore year,before sophomore year,DATE,,,en,1.1
twelfth,twelfth,ORDINAL,,,en,1.1
last week,last week,DATE,,,en,1.1
Pilates,Pilates,PRODUCT,,,en,1.1
our third and final day,our third and final day,DATE,,,en,1.1
22,22,CARDINAL,,,en,1.1
last month,last month,DATE,,,en,1.1
two days,two days,DATE,,,en,1.1
November 3rd,November 3rd,DATE,,,en,1.1
Big Noon Kickoff,Big Noon Kickoff,WORK_OF_ART,,,en,1.1
229,229,CARDINAL,,,en,1.1
every day,every day,DATE,,,en,1.1
end-of-year,end-of-year,DATE,,,en,1.1
"between 39,000 and 52,000","between 39,000 and 52,000",CARDINAL,,,en,1.1
Italian,Italian,NORP,,,en,1.1
one September day in 1995,one September day in 1995,DATE,,,en,1.1
the Week,the Week,DATE,,,en,1.1
53.01,53.01,CARDINAL,,,en,1.1
Thai,Thai,NORP,,,en,1.1
thai,thai,NORP,,,en,1.1
under $7,under $7,MONEY,,,en,1.1
November,November,DATE,,,en,1.1
April 1976,April 1976,DATE,,,en,1.1
53.02,53.02,CARDINAL,,,en,1.1
those days,those days,DATE,,,en,1.1
Hundreds,Hundreds,CARDINAL,,,en,1.1
more than 500,more than 500,CARDINAL,,,en,1.1
Japanese,Japanese,NORP,,,en,1.1
six more weeks,six more weeks,DATE,,,en,1.1
Halloween Treat Week,Halloween Treat Week,DATE,,,en,1.1
August,August,DATE,,,en,1.1
18 months to 2 years,18 months to 2 years,DATE,,,en,1.1
Lille OSC,Lille OSC,FAC,,,en,1.1
last night,last night,TIME,,,en,1.1
Californians,Californians,NORP,,,en,1.1
days,days,DATE,,,en,1.1
Strawberry Milk,Strawberry Milk,PRODUCT,,,en,1.1
Five-day,Five-day,DATE,,,en,1.1
this summer,this summer,DATE,,,en,1.1
weekly,weekly,DATE,,,en,1.1
Franken,Franken,LAW,,,en,1.1
the year to February,the year to February,DATE,,,en,1.1
nine,nine,CARDINAL,,,en,1.1
the next five days,the next five days,DATE,,,en,1.1
two seasons,two seasons,DATE,,,en,1.1
Englishman,Englishman,NORP,,,en,1.1
late summer,late summer,DATE,,,en,1.1
99%,99%,PERCENT,,,en,1.1
26S,26S,CARDINAL,,,en,1.1
recent months,recent months,DATE,,,en,1.1
40%,40%,PERCENT,,,en,1.1
Oct. 16,Oct. 16,DATE,,,en,1.1
Star,Star,WORK_OF_ART,,,en,1.1
4.5,4.5,CARDINAL,,,en,1.1
quarterly,quarterly,DATE,,,en,1.1
2016,2016,DATE,,,en,1.1
Aug 31,Aug 31,DATE,,,en,1.1
weeks,weeks,DATE,,,en,1.1
1989,1989,DATE,,,en,1.1
midday,midday,TIME,,,en,1.1
25 Halloween,25 Halloween,DATE,,,en,1.1
a few years ago,a few years ago,DATE,,,en,1.1
27 Halloween,27 Halloween,DATE,,,en,1.1
the end of the season,the end of the season,DATE,,,en,1.1
+15176,+15176,NORP,,,en,1.1
Sept 28,Sept 28,DATE,,,en,1.1
"400,000","400,000",CARDINAL,,,en,1.1
a week,a week,DATE,,,en,1.1
week,week,DATE,,,en,1.1
1930s,1930s,DATE,,,en,1.1
October 13th –,October 13th –,DATE,,,en,1.1
russian,russian,NORP,,,en,1.1
Boots,Boots,WORK_OF_ART,,,en,1.1
Disneyland Resort 2025,Disneyland Resort 2025,FAC,,,en,1.0
millions of years,millions of years,DATE,,,en,1.0
about half,about half,CARDINAL,,,en,1.0
+5647 chars,+5647 chars,WORK_OF_ART,,,en,1.0
+101122 chars],+101122 chars],WORK_OF_ART,,,en,1.0
Hurricanes Helene,Hurricanes Helene,EVENT,,,en,1.0
BMW M2 CS,BMW M2 CS,PRODUCT,,,en,1.0
2025-11-03,2025-11-03,DATE,,,en,1.0
the Rain,the Rain,WORK_OF_ART,,,en,1.0
+6542,+6542,NORP,,,en,1.0
pRSFDuet_His-TEV-gsggs-Ub(WT,pRSFDuet_His-TEV-gsggs-Ub(WT,PRODUCT,,,en,1.0
Brilliant Bites,Brilliant Bites,WORK_OF_ART,,,en,1.0
75,75,CARDINAL,,,en,1.0
13th-century,13th-century,DATE,,,en,1.0
North American,North American,NORP,,,en,1.0
earlier this year,earlier this year,DATE,,,en,1.0
Came Alive,Came Alive,WORK_OF_ART,,,en,1.0
BMW M2 CS lo,BMW M2 CS lo,PRODUCT,,,en,1.0
Nine,Nine,CARDINAL,,,en,1.0
Death Stranding,Death Stranding,FAC,,,en,1.0
Halloween decorations,Halloween decorations,DATE,,,en,1.0
Easter,Easter,EVENT,,,en,1.0
Emoco” Sensor and AI Makes Offices More Comfortable by Reading Human Emotions,Emoco” Sensor and AI Makes Offices More Comfortable by Reading Human Emotions,WORK_OF_ART,,,en,1.0
+5024 chars,+5024 chars,WORK_OF_ART,,,en,1.0
Indias,Indias,NORP,,,en,1.0
Asian,Asian,NORP,,,en,1.0
+4104,+4104,NORP,,,en,1.0
This Year,This Year,DATE,,,en,1.0
Antarctica,Antarctica,LANGUAGE,0.0,0.47619047619047605,en,1.0
the first few weeks,the first few weeks,DATE,,,en,1.0
DeMilked,DeMilked,PRODUCT,,,en,1.0
A few years ago,A few years ago,DATE,,,en,1.0
Pom,Pom,PRODUCT,,,en,1.0
664,664,MONEY,,,en,1.0
decades-ago,decades-ago,DATE,,,en,1.0
nearly $3 billion,nearly $3 billion,MONEY,,,en,1.0
November 3,November 3,DATE,,,en,1.0
+4220 chars,+4220 chars,WORK_OF_ART,,,en,1.0
over 300 hours,over 300 hours,TIME,,,en,1.0
6 million years old,6 million years old,DATE,,,en,1.0
Hosting Thanksgiving,Hosting Thanksgiving,EVENT,,,en,1.0
filter</li,filter</li,FAC,,,en,1.0
24.99,24.99,MONEY,,,en,1.0
24,24,CARDINAL,,,en,1.0
hundreds,hundreds,CARDINAL,,,en,1.0
702,702,CARDINAL,,,en,1.0
billions of dollars,billions of dollars,MONEY,,,en,1.0
A decade or so ago,A decade or so ago,DATE,,,en,1.0
my mid 40s,my mid 40s,DATE,,,en,1.0
Grammy Award,Grammy Award,WORK_OF_ART,,,en,1.0
the fall and winter,the fall and winter,DATE,,,en,1.0
Nov. 04,Nov. 04,DATE,,,en,1.0
tomorrow,tomorrow,DATE,,,en,1.0
Needs To Lear To Smile A Little More,Needs To Lear To Smile A Little More,WORK_OF_ART,,,en,1.0
a little before 5 p.m.,a little before 5 p.m.,TIME,,,en,1.0
this Halloween,this Halloween,DATE,,,en,1.0
the holiday,the holiday,DATE,,,en,1.0
Womans,Womans,NORP,,,en,1.0
halloween,halloween,DATE,,,en,1.0
2025-11-04,2025-11-04,DATE,,,en,1.0
3.5,3.5,CARDINAL,,,en,1.0
Nine-Year-Old,Nine-Year-Old,DATE,,,en,1.0
the coldest season,the coldest season,DATE,,,en,1.0
the FedEx Cup Fall,the FedEx Cup Fall,EVENT,,,en,1.0
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,WORK_OF_ART,,,en,1.0
tens of thousands,tens of thousands,CARDINAL,,,en,1.0
Soldier Field,Soldier Field,FAC,,,en,1.0
the time of year,the time of year,DATE,,,en,1.0
million,million,CARDINAL,,,en,1.0
+14534,+14534,NORP,,,en,1.0
423.9 ppm,423.9 ppm,QUANTITY,,,en,1.0
last year,last year,DATE,,,en,1.0
M Street,M Street,FAC,,,en,1.0
under $10,under $10,MONEY,,,en,1.0
Matilda,Matilda,WORK_OF_ART,,,en,1.0
1.2 Hz,1.2 Hz,QUANTITY,,,en,1.0
Legal Psychedelic,Legal Psychedelic,WORK_OF_ART,,,en,1.0
A year and half ago,A year and half ago,DATE,,,en,1.0
11,11,CARDINAL,,,en,1.0
"Adorable"" Walmart Halloween Decorations That Aren't Too Cheesy","Adorable"" Walmart Halloween Decorations That Aren't Too Cheesy",WORK_OF_ART,,,en,1.0
World Cup,World Cup,EVENT,,,en,1.0
the Desert Botanical Garden,the Desert Botanical Garden,FAC,,,en,1.0
10 May 2026,10 May 2026,DATE,,,en,1.0
a quarter,a quarter,DATE,,,en,1.0
Women’s World Cup,Women’s World Cup,EVENT,,,en,1.0
Your Life,Your Life,WORK_OF_ART,,,en,1.0
52,52,CARDINAL,,,en,1.0
Craftwell Cocktails,Craftwell Cocktails,EVENT,,,en,1.0
Spicy Man,Spicy Man,WORK_OF_ART,,,en,1.0
Purple Rain Drop,Purple Rain Drop,WORK_OF_ART,,,en,1.0
Top Shelf,Top Shelf,WORK_OF_ART,,,en,1.0
Soviet,Soviet,NORP,,,en,1.0
This summer,This summer,DATE,,,en,1.0
Western European,Western European,NORP,,,en,1.0
S.,S.,NORP,,,en,1.0
2 mM L,2 mM L,QUANTITY,,,en,1.0
WWII,WWII,EVENT,,,en,1.0
Twits,Twits,NORP,,,en,1.0
December,December,DATE,,,en,1.0
Muhammad Ali International Airport,Muhammad Ali International Airport,FAC,,,en,1.0
Forty-five years,Forty-five years,DATE,,,en,1.0
at least 7,at least 7,CARDINAL,,,en,1.0
At least seven,At least seven,CARDINAL,,,en,1.0
+35408,+35408,NORP,,,en,1.0
27,27,CARDINAL,,,en,1.0
Dream of an Alaskan Oil Boom Is Feeling More Like a Bust,Dream of an Alaskan Oil Boom Is Feeling More Like a Bust,WORK_OF_ART,,,en,1.0
Amazon,Amazon,PRODUCT,,,en,1.0
We Crowned the Top Chicken Strips,We Crowned the Top Chicken Strips,WORK_OF_ART,,,en,1.0
+2956 chars,+2956 chars,WORK_OF_ART,,,en,1.0
Nov 10,Nov 10,DATE,,,en,1.0
ten years ago,ten years ago,DATE,,,en,1.0
773,773,CARDINAL,,,en,1.0
5h,5h,CARDINAL,,,en,1.0
anatase,anatase,NORP,,,en,1.0
C6,C6,PRODUCT,,,en,1.0
55%,55%,PERCENT,,,en,1.0
Ru,Ru,LAW,,,en,1.0
2017;22:5365,2017;22:5365,CARDINAL,,,en,1.0
the fourth year,the fourth year,DATE,,,en,1.0
2010,2010,DATE,,,en,1.0
over two decades,over two decades,DATE,,,en,1.0
Academia,Academia,PRODUCT,,,en,1.0
+3101 chars,+3101 chars,WORK_OF_ART,,,en,1.0
weekend,weekend,DATE,,,en,1.0
AT1 Enduro 125,AT1 Enduro 125,PRODUCT,,,en,1.0
warmer days,warmer days,DATE,,,en,1.0
16 months,16 months,DATE,,,en,1.0
40th,40th,ORDINAL,,,en,1.0
2015,2015,DATE,,,en,1.0
10 years,10 years,DATE,,,en,1.0
thousand-dollar,thousand-dollar,MONEY,,,en,1.0
this past winter,this past winter,DATE,,,en,1.0
This 2022,This 2022,DATE,,,en,1.0
more than 30 years,more than 30 years,DATE,,,en,1.0
Cheese Magic,Cheese Magic,WORK_OF_ART,,,en,1.0
8 minutes,8 minutes,TIME,,,en,1.0
Ten,Ten,CARDINAL,,,en,1.0
203,203,CARDINAL,,,en,1.0
The Pink Marine,The Pink Marine,WORK_OF_ART,,,en,1.0
35,35,CARDINAL,,,en,1.0
only one,only one,CARDINAL,,,en,1.0
'Boots' on Netflix,'Boots' on Netflix,WORK_OF_ART,,,en,1.0
37%,37%,PERCENT,,,en,1.0
Another week,Another week,DATE,,,en,1.0
Port Royal,Port Royal,FAC,,,en,1.0
+64033,+64033,CARDINAL,,,en,1.0
the 21st century,the 21st century,DATE,,,en,1.0
7.2 seconds,7.2 seconds,TIME,,,en,1.0
+16876,+16876,NORP,,,en,1.0
"1,323","1,323",CARDINAL,,,en,1.0
November 2025,November 2025,DATE,,,en,1.0
between the ages of 6 and 24 months,between the ages of 6 and 24 months,DATE,,,en,1.0
179,179,CARDINAL,,,en,1.0
190,190,CARDINAL,,,en,1.0
LongEvans,LongEvans,NORP,,,en,1.0
369,369,CARDINAL,,,en,1.0
This 1974,This 1974,DATE,,,en,1.0
Hand Stories Of What People Experienced While They Were Declared Dead,Hand Stories Of What People Experienced While They Were Declared Dead,WORK_OF_ART,,,en,1.0
the Year,the Year,DATE,,,en,1.0
COP30,COP30,WORK_OF_ART,,,en,1.0
+10895,+10895,NORP,,,en,1.0
October 10,October 10,DATE,,,en,1.0
just a few days,just a few days,DATE,,,en,1.0
the years,the years,DATE,,,en,1.0
Mid-Day,Mid-Day,DATE,,,en,1.0
Dune:,Dune:,WORK_OF_ART,,,en,1.0
zero,zero,CARDINAL,,,en,1.0
circa 2013,circa 2013,DATE,,,en,1.0
3-Mile 2006,3-Mile 2006,DATE,,,en,1.0
This 1971 Honda,This 1971 Honda,EVENT,,,en,1.0
Candy Topaz Orange,Candy Topaz Orange,WORK_OF_ART,,,en,1.0
CT70H Trail,CT70H Trail,FAC,,,en,1.0
Early Morning,Early Morning,TIME,,,en,1.0
the second half,the second half,DATE,,,en,1.0
"21,786","21,786",MONEY,,,en,1.0
the past decade,the past decade,DATE,,,en,1.0
2024-25 season,2024-25 season,DATE,,,en,1.0
Six,Six,CARDINAL,,,en,1.0
March,March,DATE,,,en,1.0
over four years,over four years,DATE,,,en,1.0
The Day,The Day,DATE,,,en,1.0
+1645,+1645,NORP,,,en,1.0
Shrek,Shrek,PRODUCT,,,en,1.0
the Night / Photograph,the Night / Photograph,FAC,,,en,1.0
Mexican,Mexican,NORP,,,en,1.0
40,40,CARDINAL,,,en,1.0
Nov. 7,Nov. 7,DATE,,,en,1.0
the age of 17,the age of 17,DATE,,,en,1.0
age 17,age 17,DATE,,,en,1.0
A decade ago,A decade ago,DATE,,,en,1.0
a few days later,a few days later,DATE,,,en,1.0
golden hour,golden hour,TIME,,,en,1.0
Malaysian,Malaysian,NORP,,,en,1.0
Japanese-Americans,Japanese-Americans,NORP,,,en,1.0
244cc,244cc,CARDINAL,,,en,1.0
This 2006,This 2006,EVENT,,,en,1.0
+94928,+94928,NORP,,,en,1.0
"TechRadar
","TechRadar
",PRODUCT,,,en,1.0
+13017 chars,+13017 chars,WORK_OF_ART,,,en,1.0
Jollywood Nights,Jollywood Nights,FAC,,,en,1.0
Swedish,Swedish,NORP,,,en,1.0
Mustang,Mustang,PRODUCT,,,en,1.0
Mustang Dominated the Skies Despite,Mustang Dominated the Skies Despite,WORK_OF_ART,,,en,1.0
Mustang Dominated the Skies,Mustang Dominated the Skies,WORK_OF_ART,,,en,1.0
post-World War,post-World War,EVENT,,,en,1.0
Act 1,Act 1,LAW,,,en,1.0
Basque,Basque,NORP,,,en,1.0
The Sun Also Rises,The Sun Also Rises,WORK_OF_ART,,,en,1.0
99 years later,99 years later,DATE,,,en,1.0
Gaggia Classic E24 Evo Pro,Gaggia Classic E24 Evo Pro,PRODUCT,,,en,1.0
Classic E24 Evo Pro,Classic E24 Evo Pro,PRODUCT,,,en,1.0
+4902 chars,+4902 chars,WORK_OF_ART,,,en,1.0
1983,1983,DATE,,,en,1.0
Ontarian,Ontarian,NORP,,,en,1.0
the Dash 8,the Dash 8,PRODUCT,,,en,1.0
the Mini Dash,the Mini Dash,FAC,,,en,1.0
Most Challenging Airport,Most Challenging Airport,FAC,,,en,1.0
Sicilian,Sicilian,NORP,,,en,1.0
the turn of the 20th century,the turn of the 20th century,DATE,,,en,1.0
$550 million,$550 million,MONEY,,,en,1.0
August 2020,August 2020,DATE,,,en,1.0
2003,2003,DATE,,,en,1.0
Haasil,Haasil,NORP,,,en,1.0
| 2003,| 2003,DATE,,,en,1.0
99,99,MONEY,,,en,1.0
20 years,20 years,DATE,,,en,1.0
more than 150 million,more than 150 million,CARDINAL,,,en,1.0
+6017 chars,+6017 chars,WORK_OF_ART,,,en,1.0
the next two decades,the next two decades,DATE,,,en,1.0
400B,400B,MONEY,,,en,1.0
+5392,+5392,NORP,,,en,1.0
AllEars,AllEars,FAC,,,en,1.0
Cyber Heater,Cyber Heater,PRODUCT,,,en,1.0
Oct. 25,Oct. 25,DATE,,,en,1.0
The Next 12 Months,The Next 12 Months,DATE,,,en,1.0
early October,early October,DATE,,,en,1.0
Week,Week,DATE,,,en,1.0
832,832,MONEY,,,en,1.0
Hidden Wisdom,Hidden Wisdom,WORK_OF_ART,,,en,1.0
every 10 minutes,every 10 minutes,TIME,,,en,1.0
this weekend,this weekend,DATE,,,en,1.0
"Aug. 15, 2021","Aug. 15, 2021",DATE,,,en,1.0
Viva La Revolution,Viva La Revolution,EVENT,,,en,1.0
Oct. 24,Oct. 24,DATE,,,en,1.0
his day,his day,DATE,,,en,1.0
the summers,the summers,DATE,,,en,1.0
a ton,a ton,QUANTITY,,,en,1.0
Blue Ridge,Blue Ridge,FAC,,,en,1.0
the Blue Ridge Mountains,the Blue Ridge Mountains,FAC,,,en,1.0
Nazis,Nazis,NORP,,,en,1.0
24th October 2025,24th October 2025,DATE,,,en,1.0
"the past 4,000 years","the past 4,000 years",DATE,,,en,1.0
"4,000 years","4,000 years",DATE,,,en,1.0
seven-foot,seven-foot,QUANTITY,,,en,1.0
Aero-FIT performance cooling technology,Aero-FIT performance cooling technology,PRODUCT,,,en,1.0
Dress Code,Dress Code,WORK_OF_ART,,,en,1.0
Argentine,Argentine,NORP,,,en,1.0
85%,85%,PERCENT,,,en,1.0
43k,43k,CARDINAL,,,en,1.0
the 1990s,the 1990s,DATE,,,en,1.0
1990s,1990s,CARDINAL,,,en,1.0
+6163,+6163,NORP,,,en,1.0
28 October,28 October,DATE,,,en,1.0
at least 500,at least 500,CARDINAL,,,en,1.0
8.1%,8.1%,PERCENT,,,en,1.0
next year,next year,DATE,,,en,1.0
March next year,March next year,DATE,,,en,1.0
between 2030 and 2052,between 2030 and 2052,DATE,,,en,1.0
1.5 degrees Celsius,1.5 degrees Celsius,QUANTITY,,,en,1.0
2.7 degrees Fahrenheit,2.7 degrees Fahrenheit,QUANTITY,,,en,1.0
6,6,CARDINAL,,,en,1.0
100%,100%,PERCENT,,,en,1.0
Seminole Gambling Establishment Hotel Immokalee Programs,Seminole Gambling Establishment Hotel Immokalee Programs,WORK_OF_ART,,,en,1.0
256,256,CARDINAL,,,en,1.0
5 night,5 night,TIME,,,en,1.0
Apples,Apples,WORK_OF_ART,,,en,1.0
Rs,Rs,PRODUCT,,,en,1.0
iPhone 17,iPhone 17,PRODUCT,,,en,1.0
the Halloween Season,the Halloween Season,DATE,,,en,1.0
Apple iPhone 17,Apple iPhone 17,PRODUCT,,,en,1.0
Cali,Cali,LAW,,,en,1.0
the First Amendment,the First Amendment,LAW,,,en,1.0
175 mph,175 mph,QUANTITY,,,en,1.0
The witching hour,The witching hour,TIME,,,en,1.0
54,54,MONEY,,,en,1.0
autumn,autumn,DATE,,,en,1.0
Last night's,Last night's,TIME,,,en,1.0
ninth,ninth,ORDINAL,,,en,1.0
another six weeks,another six weeks,DATE,,,en,1.0
Ukrainians,Ukrainians,NORP,,,en,1.0
season,season,DATE,,,en,1.0
