,Hazard,Causes,Mitigation,Impacts,Adaptation,Invalid
2026-02-04,0.8,0.0,0.0,1.5,0.0,5.800000000000001
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.7
2026-02-06,0.8,0.8,0.0,0.0,0.8,4.2
2026-02-07,0.0,0.0,0.8,0.0,0.0,0.7
2026-02-08,0.0,0.8,0.0,0.0,0.0,6.4
2026-02-09,0.0,0.7,0.0,0.8,0.0,6.300000000000001
2026-02-10,0.7,0.0,0.0,0.0,0.0,2.0999999999999996
2026-02-11,0.0,0.0,0.8,0.0,0.0,2.9000000000000004
2026-02-12,0.0,1.4,0.0,0.0,0.8,2.2
2026-02-13,0.8,0.7,0.8,0.0,0.0,4.9
2026-02-14,0.0,0.0,0.0,0.0,0.0,1.4
2026-02-15,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
2026-02-16,0.8,0.8,0.0,0.8,0.0,3.5999999999999996
2026-02-17,0.6,0.0,0.0,0.8,0.0,4.5
2026-02-18,0.0,0.0,0.0,0.0,0.8,4.2
2026-02-19,0.0,0.0,0.0,0.0,0.0,4.9
2026-02-20,0.0,0.0,0.0,0.0,0.0,2.2
2026-02-21,0.0,0.0,0.6,1.6,0.0,2.3
2026-02-22,0.8,0.0,0.0,0.0,0.0,1.4
2026-02-23,0.0,0.0,0.0,0.8,0.0,3.5
2026-02-24,1.4,0.0,0.0,0.0,0.0,3.5999999999999996
2026-02-25,0.8,2.05,0.0,0.0,0.0,5.000000000000001
2026-02-26,0.8,0.0,0.8,0.0,0.0,2.0999999999999996
2026-02-27,0.0,0.0,0.0,0.0,0.0,1.4
2026-02-28,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0,0.0,0.0,1.5
2026-03-02,0.0,0.0,0.0,0.0,0.0,4.5
2026-03-03,0.8,0.8,0.8,0.8,0.0,1.4
2026-03-04,0.0,0.8,0.8,0.0,0.0,5.1000000000000005
2026-03-05,0.0,0.7,0.0,0.0,0.0,1.4
2026-03-06,2.3,2.3,0.0,0.0,0.0,3.6000000000000005
2026-03-08,0.0,0.7,0.0,0.0,0.0,0.0
2026-03-09,1.6,0.0,0.0,0.0,0.7,3.6000000000000005
2026-03-10,0.8,0.0,0.0,0.0,0.0,5.1
2026-03-11,3.2,0.6,0.0,0.8,0.0,2.8
2026-03-12,4.8,0.8,0.0,0.0,0.0,3.6000000000000005
2026-03-13,1.6,0.0,0.0,0.0,0.0,2.9000000000000004
2026-03-14,0.8,0.0,0.0,0.0,0.0,1.4
2026-03-15,3.2,0.0,0.0,0.0,0.0,2.8999999999999995
2026-03-16,6.3,0.8,0.0,0.0,0.0,1.5
2026-03-17,4.0,1.6,0.0,0.0,0.8,2.2
2026-03-18,7.1,0.0,0.0,0.0,0.0,2.8
2026-03-19,6.299999999999999,0.0,0.0,0.0,0.0,4.9
2026-03-20,10.3,0.0,0.0,0.0,0.0,3.5
2026-03-21,3.0999999999999996,1.6,0.0,0.0,0.0,0.0
2026-03-22,0.8,0.0,0.0,0.0,0.0,1.5
2026-03-23,0.8,0.0,0.0,0.0,0.0,2.8
2026-03-24,4.0,0.0,0.0,0.0,0.0,0.7
2026-03-25,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-26,2.3,0.0,0.0,0.0,0.0,2.8
2026-03-27,0.0,0.0,0.0,0.8,0.0,2.0999999999999996
2026-03-28,0.0,0.0,0.0,0.0,0.0,0.7
2026-03-29,1.6,0.0,0.0,0.0,0.0,0.8
2026-03-30,0.0,0.7,0.8,0.0,0.0,1.4
2026-03-31,0.8,0.8,0.0,0.0,0.0,2.2
2026-04-01,2.4000000000000004,0.0,0.0,0.0,0.0,0.7
2026-04-02,2.4000000000000004,1.6,0.0,0.0,0.0,3.5
2026-04-03,0.0,0.0,0.0,0.0,0.8,0.7
2026-04-04,0.0,0.0,0.0,0.0,0.0,2.8999999999999995
2026-04-05,0.0,0.7,0.0,0.0,0.0,0.7
2026-04-06,0.8,0.7,0.0,0.0,0.0,2.2
2026-04-07,0.0,0.0,0.0,0.0,0.8,2.8
2026-04-08,1.6,0.0,0.0,0.0,0.0,2.0999999999999996
2026-04-09,2.4000000000000004,0.0,0.0,0.0,0.0,2.8
2026-04-10,0.0,0.8,0.0,0.0,0.0,4.2
2026-04-11,1.6,0.0,0.0,0.0,0.0,0.0
2026-04-12,0.0,0.7,0.0,0.0,0.0,4.2
2026-04-13,0.7,0.0,0.0,0.0,0.0,1.4
2026-04-14,0.0,0.8,0.0,0.0,0.0,2.8
2026-04-15,1.6,0.0,0.0,0.0,0.0,5.1000000000000005
2026-04-16,2.3,0.8,0.0,0.0,0.0,2.8
2026-04-17,3.0999999999999996,0.0,0.0,0.0,0.0,1.4
2026-04-18,0.8,0.0,0.0,0.0,0.0,0.7
2026-04-19,1.6,0.7,0.0,0.0,0.0,0.0
2026-04-20,2.3,0.0,0.0,0.0,0.0,0.7
2026-04-21,4.699999999999999,0.0,0.0,0.8,0.0,2.9000000000000004
2026-04-22,1.6,0.0,1.6,0.0,0.0,2.0999999999999996
2026-04-23,0.8,0.0,0.0,0.0,0.0,5.1000000000000005
2026-04-24,0.8,0.0,0.0,0.0,0.0,4.3999999999999995
2026-04-25,4.5,0.0,0.6,0.8,0.0,3.5
2026-04-26,1.5,0.0,0.0,0.0,0.0,3.5999999999999996
2026-04-27,1.6,0.0,0.8,3.2,0.0,4.2
2026-04-28,9.5,0.0,0.6,0.0,0.7,5.199999999999999
2026-04-29,0.8,0.0,0.0,0.0,0.0,5.6000000000000005
2026-04-30,0.8,0.8,1.4,0.0,0.7,2.8
2026-05-01,2.3,0.7,0.0,0.0,0.0,3.5
2026-05-02,1.6,0.8,0.0,0.0,0.0,2.0999999999999996
2026-05-03,0.0,0.0,0.8,0.0,0.0,3.6000000000000005
2026-05-04,1.6,0.0,0.0,0.0,0.0,1.4
2026-05-05,0.8,2.3,0.0,1.6,0.0,0.7
2026-05-06,0.8,0.0,0.0,0.0,0.0,2.8
2026-05-07,0.8,0.0,0.0,0.8,0.8,0.0
2026-05-08,0.8,0.8,0.0,0.0,0.0,2.0999999999999996
2026-05-09,1.6,0.0,0.0,0.0,0.0,0.0
2026-05-10,0.8,0.0,0.0,0.0,0.0,0.7
2026-05-11,3.0,0.8,0.0,1.4,0.0,7.2
2026-05-12,0.0,1.5,0.0,0.0,0.0,4.4
2026-05-13,0.0,0.0,0.0,0.0,0.0,3.5
2026-05-14,1.6,0.0,0.8,0.8,0.0,4.3
2026-05-15,0.0,0.0,0.0,0.0,0.0,3.5
2026-05-16,1.6,0.0,0.0,0.0,0.0,0.0
2026-05-17,0.8,0.0,0.0,0.0,0.0,1.4
2026-05-18,1.4,0.8,1.6,0.0,0.0,0.8
2026-05-19,3.2,0.8,1.5,0.0,0.0,7.100000000000001
2026-05-20,3.2,1.5,0.0,0.8,0.0,7.000000000000001
2026-05-21,7.199999999999999,0.0,0.0,0.8,0.0,8.4
2026-05-22,8.7,0.8,2.4000000000000004,0.8,0.0,9.2
2026-05-23,3.2,0.0,2.4000000000000004,0.0,0.0,1.4
2026-05-24,4.8,0.0,0.0,0.8,0.0,1.4
2026-05-25,3.6,0.0,0.8,0.0,0.8,8.4
2026-05-26,8.5,2.3,0.0,0.7,0.0,4.2
2026-05-27,12.800000000000002,0.8,0.0,1.6,0.8,7.000000000000001
2026-05-28,5.3999999999999995,0.7,0.0,0.0,0.0,4.2
2026-05-29,6.3999999999999995,0.8,0.0,0.8,0.0,4.2
2026-05-30,0.8,0.0,0.0,0.0,0.0,3.5
2026-05-31,1.6,0.0,0.0,0.0,0.0,4.2
2026-06-01,3.8999999999999995,0.0,0.0,0.0,0.0,2.9000000000000004
2026-06-02,1.6,0.0,0.0,0.0,0.0,3.5
2026-06-03,2.4000000000000004,0.0,0.0,0.8,0.0,3.7
2026-06-04,3.0999999999999996,0.0,0.0,0.0,0.0,3.0
2026-06-05,3.0999999999999996,0.0,1.6,0.0,0.0,6.300000000000001
2026-06-06,3.2,0.0,0.0,0.0,0.7,2.8999999999999995
2026-06-07,0.8,0.0,0.0,0.0,0.0,2.0999999999999996
2026-06-08,0.8,0.8,0.0,0.8,0.0,5.6000000000000005
2026-06-09,1.5,0.0,0.6,0.8,0.0,2.0999999999999996
2026-06-10,4.699999999999999,0.8,0.6,0.0,0.0,4.2
2026-06-11,3.2,2.3,0.0,0.0,0.0,9.4
2026-06-12,0.8,0.7,0.0,0.7,0.0,4.300000000000001
2026-06-13,0.8,0.0,0.0,0.0,0.0,2.0999999999999996
2026-06-14,0.8,1.5,0.0,0.0,0.0,3.5
2026-06-15,2.4000000000000004,0.8,0.8,0.0,0.7,2.8
2026-06-16,0.0,0.0,0.0,0.0,0.0,1.4
2026-06-17,0.7,0.8,0.0,0.0,0.0,2.8
2026-06-18,2.4000000000000004,0.0,0.0,0.0,0.0,4.3
2026-06-19,1.6,0.0,0.0,0.0,0.0,2.2
2026-06-20,4.6,0.0,0.0,0.0,0.0,1.4
2026-06-21,1.4,0.0,0.8,0.0,0.0,2.0999999999999996
2026-06-22,9.5,0.0,0.8,0.0,0.0,5.1000000000000005
2026-06-23,15.900000000000006,3.2,0.0,0.8,0.0,9.3
2026-06-24,11.100000000000001,3.2,0.8,1.6,3.0999999999999996,2.2
2026-06-25,7.999999999999999,2.3,0.0,0.0,0.8,4.2
2026-06-26,13.500000000000004,11.100000000000001,0.8,0.6,0.8,4.2
2026-06-27,5.6,1.5,0.0,0.0,0.7,2.8
2026-06-28,5.499999999999999,0.8,2.4000000000000004,0.0,1.6,4.2
2026-06-29,6.999999999999999,3.8999999999999995,0.0,0.8,0.8,4.9
2026-06-30,5.6,0.0,0.0,0.8,0.8,5.1000000000000005
2026-07-01,7.8999999999999995,0.0,0.0,0.0,1.6,5.7
2026-07-02,10.2,2.4000000000000004,0.8,0.0,2.3,7.800000000000001
2026-07-03,11.900000000000002,4.6,0.0,0.0,0.0,7.800000000000001
2026-07-04,5.6,0.0,0.8,0.0,0.0,0.7
2026-07-05,0.8,0.0,0.0,0.8,0.0,0.0
2026-07-06,7.799999999999999,2.4000000000000004,0.0,0.0,0.8,2.0999999999999996
2026-07-07,3.2,0.7,0.0,0.0,0.8,1.4
2026-07-08,4.6,0.0,0.0,0.0,0.8,6.6000000000000005
2026-07-09,5.3999999999999995,0.7,0.0,0.0,0.8,0.7
2026-07-10,9.15,1.4,0.0,0.0,2.3,3.6000000000000005
2026-07-11,12.000000000000002,1.6,0.8,0.0,0.0,1.4
2026-07-12,2.4000000000000004,0.0,0.0,0.0,0.0,0.0
2026-07-13,7.199999999999999,2.4000000000000004,0.0,0.8,0.8,0.0
2026-07-14,0.0,0.8,0.0,0.0,0.0,0.0
